timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1659915501659,394,CreateUser,201,,Thread Group 1-1,text,true,,244,287,1,1,393,0,84
1659915503583,157,CreateUser,201,,Thread Group 1-2,text,true,,244,287,2,2,157,0,1
1659915503114,4627,RetrieveUser,200,,Thread Group 1-1,text,true,,326,197,4,4,4625,0,0
1659915505582,2257,CreateUser,201,,Thread Group 1-3,text,true,,244,287,4,4,2257,0,3
1659915507582,266,CreateUser,201,,Thread Group 1-4,text,true,,244,287,4,4,266,0,2
1659915504814,3129,RetrieveUser,200,,Thread Group 1-2,text,true,,326,197,4,4,3128,0,0
1659915508860,1276,RetrieveUser,200,,Thread Group 1-3,text,true,,326,197,5,5,1183,0,1
1659915509306,841,CreateUser,201,,Thread Group 1-1,text,true,,244,287,5,5,841,0,1
1659915508867,1372,RetrieveUser,200,,Thread Group 1-4,text,true,,326,197,5,5,1370,0,0
1659915509470,770,CreateUser,201,,Thread Group 1-2,text,true,,244,287,5,5,770,0,2
1659915509583,663,CreateUser,201,,Thread Group 1-5,text,true,,244,287,5,5,663,0,1
1659915511235,5504,RetrieveUser,200,,Thread Group 1-1,text,true,,326,197,5,5,5502,0,0
1659915511685,5061,CreateUser,201,,Thread Group 1-3,text,true,,244,287,5,5,5061,0,1
1659915511285,5955,RetrieveUser,200,,Thread Group 1-2,text,true,,326,197,5,5,5954,0,0
1659915511760,5489,CreateUser,201,,Thread Group 1-4,text,true,,244,287,5,5,5489,0,2
1659915511317,6122,RetrieveUser,200,,Thread Group 1-5,text,true,,326,197,5,5,6121,0,0
1659915517816,238,RetrieveUser,200,,Thread Group 1-3,text,true,,326,197,5,5,237,0,1
1659915518273,13,CreateUser,201,,Thread Group 1-1,text,true,,244,287,5,5,13,0,2
1659915518346,307,RetrieveUser,200,,Thread Group 1-4,text,true,,326,197,5,5,305,0,1
1659915518775,11,CreateUser,201,,Thread Group 1-2,text,true,,244,287,5,5,11,0,2
1659915518957,11,CreateUser,201,,Thread Group 1-5,text,true,,244,287,5,5,11,0,1
